Accel X=-1.01, Accel Y=-0.03, Accel Z=9.57
Total Acceleration =Accel X=-0.96, Accel Y=-0.06, Accel Z=9.56
Total Acceleration =Accel X=-0.95, Accel Y=-0.01, Accel Z=9.56
Total Acceleration =Accel X=-0.92, Accel Y=0.01, Accel Z=9.62
Total Acceleration =Accel X=-0.99, Accel Y=0.01, Accel Z=9.57
Total Acceleration =Accel X=-0.98, Accel Y=-0.04, Accel Z=9.66
Total Acceleration =Accel X=-0.99, Accel Y=-0.03, Accel Z=9.64
Total Acceleration =Accel X=-0.98, Accel Y=-0.07, Accel Z=9.56
Total Acceleration =Accel X=-0.95, Accel Y=-0.04, Accel Z=9.57
Total Acceleration =Accel X=-0.97, Accel Y=-0.03, Accel Z=9.56
Total Acceleration =Accel X=-0.96, Accel Y=-0.03, Accel Z=9.57
Total Acceleration =Accel X=-0.91, Accel Y=-0.04, Accel Z=9.51
Total Acceleration =Accel X=-0.98, Accel Y=-0.03, Accel Z=9.57
Total Acceleration =Accel X=-0.96, Accel Y=-0.04, Accel Z=9.62
Total Acceleration =Accel X=-0.98, Accel Y=-0.04, Accel Z=9.63
Total Acceleration =Accel X=-0.98, Accel Y=-0.02, Accel Z=9.62
Total Acceleration =Accel X=-0.96, Accel Y=-0.03, Accel Z=9.62
Total Acceleration =Accel X=-0.97, Accel Y=-0.04, Accel Z=9.57
Total Acceleration =Accel X=-0.96, Accel Y=-0.03, Accel Z=9.52
Total Acceleration =Accel X=-0.96, Accel Y=-0.02, Accel Z=9.53
Total Acceleration =Accel X=-0.96, Accel Y=-0.03, Accel Z=9.54
Total Acceleration =Accel X=-0.98, Accel Y=-0.01, Accel Z=9.59
Total Acceleration =Accel X=-0.95, Accel Y=-0.03, Accel Z=9.6
Total Acceleration =Accel X=-0.93, Accel Y=-0.08, Accel Z=9.59
Total Acceleration =Accel X=-0.96, Accel Y=-0.07, Accel Z=9.59
Total Acceleration =Accel X=-0.95, Accel Y=-0.06, Accel Z=9.55
Total Acceleration =Accel X=-0.96, Accel Y=-0.04, Accel Z=9.56
Total Acceleration =Accel X=-0.92, Accel Y=-0.05, Accel Z=9.52
Total Acceleration =Accel X=-0.93, Accel Y=-0.04, Accel Z=9.58
Total Acceleration =Accel X=-0.99, Accel Y=-0.04, Accel Z=9.56
Total Acceleration =Accel X=-0.96, Accel Y=-0.05, Accel Z=9.54
Total Acceleration =Accel X=-0.99, Accel Y=-0.03, Accel Z=9.57
Total Acceleration =Accel X=-0.99, Accel Y=-0.02, Accel Z=9.58
Total Acceleration =Accel X=-0.97, Accel Y=-0.08, Accel Z=9.54
Total Acceleration =Accel X=-0.99, Accel Y=-0.04, Accel Z=9.61
Total Acceleration =Accel X=-0.99, Accel Y=-0.05, Accel Z=9.65
Total Acceleration =Accel X=-0.97, Accel Y=-0.06, Accel Z=9.66
Total Acceleration =Accel X=-0.98, Accel Y=-0.04, Accel Z=9.64
Total Acceleration =Accel X=-0.97, Accel Y=-0.04, Accel Z=9.59
Total Acceleration =Accel X=-0.93, Accel Y=-0.02, Accel Z=9.58
Total Acceleration =Accel X=-0.94, Accel Y=-0.03, Accel Z=9.58
Total Acceleration =Accel X=-0.94, Accel Y=-0.03, Accel Z=9.56
Total Acceleration =Accel X=-0.97, Accel Y=-0.05, Accel Z=9.57
Total Acceleration =Accel X=-0.97, Accel Y=-0.04, Accel Z=9.57
Total Acceleration =Accel X=-0.98, Accel Y=-0.04, Accel Z=9.59
